id;member_uid;first_name;last_name;middle_name;email;country;city;address;zip_code;birth_date;signup_date;rank
1;ca443ae7-4285-454b-a382-6a1d16eb9e63;Abraham;Aubry;gai;Japhet50@hotmail.fr;Roumanie;Champigny-sur-Marne;de façon à ce que prou;47082;2024-12-12;2024-12-12;SPOUSE
2;36588959-bb39-4243-86a5-acec63fa9bee;Adalric;Deschamps;gratis pourvu que;Gaspar_Morel90@hotmail.fr;Arabie saoudite;Troyes;commis de cuisine bof;98733;2024-12-12;2024-12-13;SPOUSE
3;3add22f4-db4a-4212-862b-e7ccae4b4d8e;Jacqueline;Carpentier;quand débile;Adhemar.Aubry50@gmail.com;Botswana;Saint-Pierre;terne concernant égoïste;04607;2024-12-13;2024-12-12;SPOUSE
4;0cc8124d-c6f2-4413-9fe0-05c5976b6c49;Reybaud;Renard;assister tandis que partenaire;Isabeau_Gerard@yahoo.fr;Uruguay;Amiens;cuicui d'entre clac;49098;2024-12-13;2024-12-13;CHILDREN
5;fa283ede-cfe1-46f9-b143-7af276edd6e1;Fulgence;Gonzalez;ouch ah;Alliaume80@yahoo.fr;Hongrie;Lorient;quand;23265;2024-12-13;2024-12-13;SPOUSE
6;9c018a56-864d-4e1f-b9f9-e79f249d6fe0;Armin;Moulin;secouriste loufoque délégation;Eudoxe.Dubois16@yahoo.fr;Kiribati;Rueil-Malmaison;vu que;30239;2024-12-13;2024-12-12;CHILDREN
7;789d8e53-0141-488b-ba75-5707f06a6325;Morgan;Bourgeois;dense;Lydie.Julien@yahoo.fr;Panama;Marseille;virer;36876;2024-12-13;2024-12-12;CHILDREN
8;90ad47f4-aefe-43e4-88c2-51f599162345;Théodose;Schmitt;essuyer;Maxellende.Marie48@hotmail.fr;Haïti;Cayenne;mélancolique de si;70384;2024-12-13;2024-12-12;CHILDREN
9;0b2f6b66-a536-40e3-a435-82eb16241c82;Yvonne;Lemoine;rectangulaire;Florie.Petit@yahoo.fr;Tuvalu;Cergy;tellement direction là;77007;2024-12-13;2024-12-13;CHILDREN
10;9590ceb3-3ffc-4ef7-bce8-a93f366cf258;Ariane;Riviere;tandis que aussi;Florestan.Guerin32@yahoo.fr;Malawi;Calais;bang charitable sitôt que;57131;2024-12-12;2024-12-12;CHILDREN
